rank,bgg_url,game_id,name,min_players,max_players,gameplay_time,min_time,max_time,release_year,num_votes,image_url,age,mechanic,sales_last_month_thousands,category,designer,weight
4067,https://boardgamegeek.com/boardgame/123129/we-didnt-playtest-legacies,123129,We Didn't Playtest This: Legacies,2,15,2,2,2,2012,312,https://cf.geekdo-images.com/images/pic1279763.png,12,"Hand Management, Rock-Paper-Scissors",6.865133,Card Game,Chris Cieslik,1
1571,https://boardgamegeek.com/boardgame/19841/pentago,19841,Pentago,2,2,5,5,5,2005,2347,https://cf.geekdo-images.com/images/pic917351.jpg,8,"Pattern Building, Pattern Recognition",7.713528,Abstract Strategy,Tomas Flod_n,1.8968
1671,https://boardgamegeek.com/boardgame/107190/flash-duel-second-edition,107190,Flash Duel: Second Edition,1,5,5,5,5,2011,714,https://cf.geekdo-images.com/images/pic1088491.jpg,0,"Hand Management, Partnerships, Variable Player Powers",6.95994,"Card Game, Fantasy, Fighting",David Sirlin,1.6071
1818,https://boardgamegeek.com/boardgame/102148/noir-deductive-mystery-game,102148,NOIR: Deductive Mystery Game,2,9,5,5,5,2012,845,https://cf.geekdo-images.com/images/pic2461527.jpg,8,"Secret Unit Deployment, Variable Player Powers",7.352961,"Deduction, Murder/Mystery, Spies/Secret Agents","D. Brad Talton, Jr.",1.6078
2217,https://boardgamegeek.com/boardgame/33468/zombie-my-pocket,33468,Zombie in my Pocket,1,1,5,5,5,2007,1426,https://cf.geekdo-images.com/images/pic455367.jpg,11,"Modular Board, Pick-up and Deliver, Tile Placement",6.969875,"Adventure, Exploration, Fighting, Horror, Print & Play, Zombies",Jeremiah Lee,1.3035
2449,https://boardgamegeek.com/boardgame/125048/dobble-kostenlose-demoversion,125048,Dobble: Kostenlose Demoversion,2,8,5,5,5,0,599,https://cf.geekdo-images.com/images/pic1315886.jpg,6,Pattern Recognition,8.01936,"Children's Game, Party Game, Real-time",Denis Blanchot,1.0312
2507,https://boardgamegeek.com/boardgame/184491/spaceteam,184491,Spaceteam,3,6,5,5,5,2015,452,https://cf.geekdo-images.com/images/pic2722498.png,10,"Co-operative Play, Hand Management, Memory, Trading",6.76476,"Card Game, Real-time, Science Fiction, Space Exploration","Tim Hutchings, Mathew Sisson",1.0769
2764,https://boardgamegeek.com/boardgame/17/button-men,17,Button Men,2,2,5,5,5,1999,728,https://cf.geekdo-images.com/images/pic59279.jpg,10,"Dice Rolling, Press Your Luck",6.945411,"Collectible Components, Dice, Fighting, Print & Play",James Ernest,1.5493
3264,https://boardgamegeek.com/boardgame/65334/flash-duel,65334,Flash Duel,2,2,5,5,5,2010,311,https://cf.geekdo-images.com/images/pic648115.jpg,0,"Hand Management, Variable Player Powers",8.06358,"Card Game, Fantasy, Fighting",David Sirlin,1.4783
3442,https://boardgamegeek.com/boardgame/29140/tumblin-dice-jr,29140,Tumblin-Dice Jr.,2,2,5,5,5,2006,229,https://cf.geekdo-images.com/images/pic223287.jpg,6,Dice Rolling,6.68594,"Action / Dexterity, Children's Game, Dice",Randy Nash,1
3571,https://boardgamegeek.com/boardgame/22465/dot,22465,On the Dot,2,4,5,5,5,2006,431,https://cf.geekdo-images.com/images/pic301070.jpg,10,"Pattern Building, Pattern Recognition",6.871678,Abstract Strategy,Dominique Bodin,1.6735
3934,https://boardgamegeek.com/boardgame/165346/mint-tin-pirates,165346,Mint Tin Pirates,2,2,5,5,5,2014,187,https://cf.geekdo-images.com/images/pic2236703.jpg,10,"Dice Rolling, Hand Management",7.59225,"Card Game, Dice, Pirates",David Rene Miller,1.069
4631,https://boardgamegeek.com/boardgame/13230/gobblet-gobblers,13230,Gobblet Gobblers,2,2,5,5,5,2003,334,https://cf.geekdo-images.com/images/pic495594.jpg,5,Memory,6.11497,"Abstract Strategy, Children's Game, Memory",Thierry Denoual,1.3704
4653,https://boardgamegeek.com/boardgame/11929/go-moku,11929,Go-Moku,2,2,5,5,5,700,426,https://cf.geekdo-images.com/images/pic128645.jpg,8,Pattern Building,6.580222,Abstract Strategy,(Uncredited),1.9375
4705,https://boardgamegeek.com/boardgame/165347/mint-tin-aliens,165347,Mint Tin Aliens,2,2,5,5,5,2014,162,https://cf.geekdo-images.com/images/pic2236693.jpg,10,Card Drafting,9.140736,"Card Game, Science Fiction",David Rene Miller,1.1429
4735,https://boardgamegeek.com/boardgame/184145/flash-duel-revised-second-edition,184145,Flash Duel: Revised Second Edition,1,5,5,5,5,2015,81,https://cf.geekdo-images.com/images/pic2704298.jpg,0,"Hand Management, Partnerships, Variable Player Powers",8.955552,"Card Game, Fantasy, Fighting",David Sirlin,1.6
4771,https://boardgamegeek.com/boardgame/41763/le-passe-trappe-grande,41763,Le Passe-Trappe Grande,2,2,5,5,5,2008,96,https://cf.geekdo-images.com/images/pic460477.jpg,10,none,7.646837,Action / Dexterity,(Uncredited),1
4838,https://boardgamegeek.com/boardgame/198836/3-wishes,198836,3 Wishes,3,5,5,3,5,2016,476,https://cf.geekdo-images.com/images/pic2993325.png,8,"Memory, Set Collection",6.4977,"Deduction, Memory, Mythology",Chris Castagnetto,1
4893,https://boardgamegeek.com/boardgame/93001/icedice,93001,IceDice,2,4,5,5,5,2011,180,https://cf.geekdo-images.com/images/pic988888.jpg,14,"Dice Rolling, Press Your Luck, Set Collection",7.728,Dice,Andrew Looney,1.1579
4908,https://boardgamegeek.com/boardgame/40561/curling-table-game,40561,Curling Table Game,2,8,5,5,5,2008,109,https://cf.geekdo-images.com/images/pic428287.jpg,0,Partnerships,6.81835,"Action / Dexterity, Sports",(Uncredited),1
4941,https://boardgamegeek.com/boardgame/158882/elevenses-one,158882,Elevenses for One,1,1,5,5,5,2014,165,https://cf.geekdo-images.com/images/pic2030762.jpg,10,Hand Management,7.09533,"Card Game, Print & Play",David Harding (II),1.25
205,https://boardgamegeek.com/boardgame/147949/one-night-ultimate-werewolf,147949,One Night Ultimate Werewolf,3,10,10,10,10,2014,11474,https://cf.geekdo-images.com/images/pic1809823.jpg,8,"Role Playing, Variable Player Powers, Voting",8.094119,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4088
330,https://boardgamegeek.com/boardgame/163166/one-night-ultimate-werewolf-daybreak,163166,One Night Ultimate Werewolf Daybreak,3,7,10,10,10,2015,2643,https://cf.geekdo-images.com/images/pic2225958.jpg,8,"Role Playing, Variable Player Powers, Voting",8.320587,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4478
364,https://boardgamegeek.com/boardgame/113294/escape-curse-temple,113294,Escape: The Curse of the Temple,1,5,10,10,10,2012,11619,https://cf.geekdo-images.com/images/pic3328521.jpg,8,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Tile Placement",7.810847,"Adventure, Dice, Electronic, Exploration, Real-time",Kristian Amundsen ¿stby,1.4801
529,https://boardgamegeek.com/boardgame/171273/fuse,171273,FUSE,1,5,10,10,10,2015,2804,https://cf.geekdo-images.com/images/pic2884287.jpg,10,"Co-operative Play, Dice Rolling, Pattern Building",8.682528,"Action / Dexterity, Dice, Real-time",Kane Klenko,1.7736
586,https://boardgamegeek.com/boardgame/327/loopin-louie,327,Loopin' Louie,2,4,10,10,10,1992,6665,https://cf.geekdo-images.com/images/pic289639.jpg,4,Player Elimination,8.26608,"Action / Dexterity, Animals, Aviation / Flight, Children's Game, Electronic, Movies / TV / Radio theme, Real-time","Masaru Aoki, Carol Wiseley",1.0544
717,https://boardgamegeek.com/boardgame/165722/klask,165722,KLASK,2,2,10,10,10,2014,1006,https://cf.geekdo-images.com/images/pic2627444.jpg,0,none,7.67115,Action / Dexterity,Mikkel Bertelsen,1.0455
962,https://boardgamegeek.com/boardgame/8098/jungle-speed,8098,Jungle Speed,2,8,10,10,10,1997,7998,https://cf.geekdo-images.com/images/pic736534.jpg,7,Pattern Recognition,7.234964,"Action / Dexterity, Card Game, Party Game, Real-time","Thomas Vuarchex, Pierrick Yakovenko",1.1517
1113,https://boardgamegeek.com/boardgame/158339/lost-legacy-starship,158339,Lost Legacy: The Starship,2,4,10,10,10,2014,2066,https://cf.geekdo-images.com/images/pic1998162.jpg,10,"Hand Management, Memory, Player Elimination",6.73127,"Bluffing, Card Game, Deduction, Science Fiction","Seiji Kanai, Hayato Kisaragi",1.2816
1306,https://boardgamegeek.com/boardgame/39206/click-clack-lumberjack,39206,Click Clack Lumberjack,2,7,10,10,10,2008,2653,https://cf.geekdo-images.com/images/pic2518694.jpg,5,none,6.52035,"Action / Dexterity, Children's Game",Justin Oh,1.0438
1351,https://boardgamegeek.com/boardgame/158340/lost-legacy-flying-garden,158340,Lost Legacy: Flying Garden,2,4,10,10,10,2014,1200,https://cf.geekdo-images.com/images/pic1998163.jpg,10,"Hand Management, Memory, Player Elimination",7.486336,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi",1.3455
1383,https://boardgamegeek.com/boardgame/180956/one-night-ultimate-vampire,180956,One Night Ultimate Vampire,3,10,10,10,10,2015,850,https://cf.geekdo-images.com/images/pic2604284.png,8,"Role Playing, Variable Player Powers, Voting",7.03917,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4783
1451,https://boardgamegeek.com/boardgame/10550/big-boggle,10550,Big Boggle,2,8,10,10,10,1979,1016,https://cf.geekdo-images.com/images/pic914821.jpg,8,Pattern Recognition,7.53599,"Real-time, Word Game",Alan Turoff,1.5567
1555,https://boardgamegeek.com/boardgame/102104/star-fluxx,102104,Star Fluxx,2,6,10,10,10,2011,3447,https://cf.geekdo-images.com/images/pic1059779.jpg,8,"Hand Management, Set Collection",7.713744,"Card Game, Science Fiction",Andrew Looney,1.4136
1574,https://boardgamegeek.com/boardgame/8924/dancing-eggs,8924,Dancing Eggs,2,4,10,10,10,2003,1732,https://cf.geekdo-images.com/images/pic2560410.jpg,5,Dice Rolling,7.142421,"Action / Dexterity, Children's Game, Dice, Humor, Party Game",Roberto Fraga,1.051
1580,https://boardgamegeek.com/boardgame/6866/mus,6866,Mus,4,4,10,10,10,1745,371,https://cf.geekdo-images.com/images/pic123069.jpg,7,"Betting/Wagering, Partnerships",8.653161,Card Game,(Uncredited),2.2222
1660,https://boardgamegeek.com/boardgame/99875/martian-dice,99875,Martian Dice,2,99,10,10,10,2011,2478,https://cf.geekdo-images.com/images/pic1516575.jpg,8,"Dice Rolling, Press Your Luck, Set Collection",6.996935,"Dice, Humor, Party Game, Science Fiction",Scott Almes,1.0782
